9684 東証1部 (株)スクウェア・エニックス・ホールディングス（情報・通信）,,,,,
"2018-05-25","5190","5290","5120","5250","449900","5250"
"2018-05-28","5200","5220","5140","5150","474200","5150"
"2018-05-29","5110","5210","5100","5190","321200","5190"
"2018-05-30","5220","5320","5220","5250","601700","5250"
"2018-05-31","5330","5440","5240","5410","788900","5410"
"2018-06-01","5450","5530","5410","5450","1069400","5450"
"2018-06-04","5510","5590","5490","5530","745100","5530"
"2018-06-05","5520","5520","5370","5400","700700","5400"
"2018-06-06","5410","5450","5320","5330","549700","5330"
"2018-06-07","5320","5350","5190","5280","627100","5280"
"2018-06-08","5250","5310","5200","5280","686600","5280"
"2018-06-11","5320","5410","5280","5290","427700","5290"
"2018-06-12","5160","5170","4945","5030","1144100","5030"
"2018-06-13","5000","5050","4960","5000","628600","5000"
"2018-06-14","5050","5270","5000","5200","1140100","5200"
"2018-06-15","5300","5630","5290","5550","2017600","5550"
"2018-06-18","5630","5660","5450","5620","1068700","5620"
"2018-06-19","5520","5570","5270","5290","986600","5290"
"2018-06-20","5230","5390","5160","5370","787200","5370"
"2018-06-21","5530","5800","5470","5770","1119600","5770"
"2018-06-22","5780","5890","5630","5710","1753100","5710"
"2018-06-25","5740","5770","5630","5630","742500","5630"
"2018-06-26","5560","5590","5470","5520","826400","5520"
"2018-06-27","5520","5530","5360","5440","805200","5440"
"2018-06-28","5440","5460","5370","5390","967300","5390"
"2018-06-29","5410","5470","5360","5440","823900","5440"
"2018-07-02","5440","5630","5420","5470","786600","5470"
"2018-07-03","5370","5450","5210","5260","800300","5260"
"2018-07-04","5260","5320","5170","5250","562800","5250"
"2018-07-05","5230","5370","5220","5280","507400","5280"
"2018-07-06","5270","5300","5140","5190","656800","5190"
"2018-07-09","5230","5380","5210","5300","560700","5300"
"2018-07-10","5250","5250","5110","5110","631600","5110"
"2018-07-11","5070","5180","5030","5130","493200","5130"
"2018-07-12","5140","5240","5130","5180","397200","5180"
"2018-07-13","5260","5410","5250","5380","490900","5380"
"2018-07-17","5380","5500","5360","5400","448700","5400"
"2018-07-18","5460","5500","5390","5480","425600","5480"
"2018-07-19","5540","5640","5450","5450","387800","5450"
"2018-07-20","5530","5630","5520","5580","589000","5580"
"2018-07-23","5560","5600","5450","5450","380300","5450"
"2018-07-24","5450","5460","5360","5430","385800","5430"
"2018-07-25","5430","5430","5330","5420","189000","5420"
"2018-07-26","5490","5500","5390","5420","345800","5420"
"2018-07-27","5480","5500","5400","5430","227100","5430"
"2018-07-30","5380","5390","5210","5250","452600","5250"
"2018-07-31","5190","5300","5150","5280","562200","5280"
"2018-08-01","5290","5330","5210","5220","410600","5220"
"2018-08-02","5230","5280","5200","5270","447400","5270"
"2018-08-03","5270","5300","5120","5140","518500","5140"
"2018-08-06","5170","5310","5160","5170","589900","5170"
"2018-08-07","5170","5330","5060","5280","699800","5280"
"2018-08-08","4980","5180","4770","5120","1976400","5120"
"2018-08-09","5110","5190","5010","5020","759400","5020"
"2018-08-10","5030","5040","4830","4860","999600","4860"
"2018-08-13","4870","4900","4710","4725","859600","4725"
"2018-08-14","4765","4845","4730","4805","462900","4805"
"2018-08-15","4730","4760","4500","4680","1160200","4680"
"2018-08-16","4615","4705","4585","4655","842300","4655"
"2018-08-17","4650","4690","4615","4680","674700","4680"
"2018-08-20","4620","4690","4610","4630","427900","4630"
"2018-08-21","4610","4720","4610","4680","743000","4680"
"2018-08-22","4695","4740","4640","4665","477800","4665"
"2018-08-23","4690","4725","4670","4695","251400","4695"
"2018-08-24","4740","4825","4690","4795","570900","4795"
"2018-08-27","4795","4830","4735","4805","520100","4805"
"2018-08-28","4850","4865","4730","4770","653500","4770"
"2018-08-29","4720","4790","4695","4750","453300","4750"
"2018-08-30","4780","4850","4765","4815","618300","4815"
"2018-08-31","4910","5180","4810","5070","2064700","5070"
"2018-09-03","5050","5170","5040","5060","826000","5060"
"2018-09-04","5060","5180","5040","5170","498000","5170"
"2018-09-05","5190","5260","5080","5090","584000","5090"
"2018-09-06","5030","5120","5030","5100","906300","5100"
"2018-09-07","4970","4980","4835","4885","827800","4885"
"2018-09-10","4885","4945","4870","4930","481700","4930"
"2018-09-11","4935","4935","4840","4895","811000","4895"
"2018-09-12","4920","4920","4845","4860","516600","4860"
"2018-09-13","4800","4810","4735","4755","716500","4755"
"2018-09-14","4780","4800","4635","4640","1337200","4640"
"2018-09-18","4570","4630","4520","4580","1469100","4580"
"2018-09-19","4580","4605","4510","4590","1163600","4590"
"2018-09-20","4550","4550","4430","4535","1337900","4535"
"2018-09-21","4485","4595","4470","4570","922800","4570"
"2018-09-25","4580","4655","4565","4655","847300","4655"
"2018-09-26","4665","4795","4645","4675","687700","4675"
"2018-09-27","4690","4755","4600","4605","472700","4605"
"2018-09-28","4660","4705","4595","4700","562100","4700"
"2018-10-01","4650","4750","4625","4715","841600","4715"
"2018-10-02","4655","4660","4535","4540","1074600","4540"
"2018-10-03","4540","4555","4455","4455","619900","4455"
"2018-10-04","4410","4430","4295","4320","1102300","4320"
"2018-10-05","4270","4420","4265","4360","759600","4360"
"2018-10-09","4350","4380","4260","4280","568400","4280"
"2018-10-10","4305","4455","4305","4420","702600","4420"
"2018-10-11","4295","4295","4200","4275","791700","4275"
"2018-10-12","4135","4290","4110","4260","868900","4260"
"2018-10-15","4175","4220","4145","4155","519100","4155"
"2018-10-16","4195","4310","4190","4250","738600","4250"
"2018-10-17","4295","4390","4260","4365","612000","4365"
"2018-10-18","4360","4360","4290","4290","476300","4290"
"2018-10-19","4220","4235","4130","4210","702100","4210"
"2018-10-22","4170","4210","4075","4175","755300","4175"
"2018-10-23","4140","4160","4085","4125","478700","4125"
"2018-10-24","4210","4310","4150","4200","813900","4200"
"2018-10-25","4085","4120","4005","4020","531700","4020"
"2018-10-26","4045","4085","3890","3935","543900","3935"
"2018-10-30","3880","3950","3840","3910","743900","3910"
"2018-11-01","4040","4105","4020","4045","566700","4045"
"2018-11-02","4075","4155","4050","4120","593400","4120"
"2018-11-05","4050","4075","3980","4015","965400","4015"
"2018-11-06","4025","4065","3960","4005","444900","4005"
"2018-11-07","3955","4095","3825","4045","593500","4045"
"2018-11-08","4245","4340","4105","4220","1890500","4220"
"2018-11-09","4240","4275","4070","4165","1044300","4165"
